year,quarter,YYYY.Q,Denver,NewYork,Miami,SanFrancisco,RealGDP,CaseShiller_HPI,UnemplRate,RealGDP.L2,CaseShiller_HPI.L2,UnemplRate.L2,RealGDP.L3,CaseShiller_HPI.L3,UnemplRate.L3,RealGDP.L4,CaseShiller_HPI.L4,UnemplRate.L4,RealGDP.L6,CaseShiller_HPI.L6,UnemplRate.L6
1991,1,1991.1,100,100,100,100,,,,,,,,,,,,,,,
1991,2,1991.2,100.83,99.14,100.36,99.11,,,,,,,,,,,,,,,
1991,3,1991.3,101.2,98.12,100.67,99.07,,,,,,,,,,,,,,,
1991,4,1991.4,103.05,97.85,102.88,98.97,,,,,,,,,,,,,,,
1992,1,1992.1,105.99,99.58,103.57,96.74,,,,,,,,,,,,,,,
1992,2,1992.2,107.8,99.16,103.53,96.17,,,,,,,,,,,,,,,
1992,3,1992.3,109.81,98.95,104.04,96.81,,,,,,,,,,,,,,,
1992,4,1992.4,113.12,99.54,105.47,94.35,,,,,,,,,,,,,,,
1993,1,1993.1,115.1,99.16,106.46,94.02,,,,,,,,,,,,,,,
1993,2,1993.2,118.22,99.13,110.13,93.28,,,,,,,,,,,,,,,
1993,3,1993.3,122.63,99.58,113.29,91.1,,,,,,,,,,,,,,,
1993,4,1993.4,126.39,100.15,114.82,92.2,,,,,,,,,,,,,,,
1994,1,1994.1,129.93,100.05,116.81,92.58,,,,,,,,,,,,,,,
1994,2,1994.2,133.24,99.69,117.22,90.61,,,,,,,,,,,,,,,
1994,3,1994.3,135.66,99.96,119.16,90.5,,,,,,,,,,,,,,,
1994,4,1994.4,137.19,98.99,119,89.74,,,,,,,,,,,,,,,
1995,1,1995.1,139.02,99.27,120.94,89.07,,,,,,,,,,,,,,,
1995,2,1995.2,141.26,99.75,121.28,91.42,,,,,,,,,,,,,,,
1995,3,1995.3,143.42,99.98,121.8,89.8,,,,,,,,,,,,,,,
1995,4,1995.4,145.41,99.58,123.72,89.2,,,,,,,,,,,,,,,
1996,1,1996.1,146.9,100.82,123.11,89.65,,,,,,,,,,,,,,,
1996,2,1996.2,148.92,101.35,125.63,90.46,,,,,,,,,,,,,,,
1996,3,1996.3,149.73,100.58,126.87,91.25,,,,,,,,,,,,,,,
1996,4,1996.4,152.6,101.43,127.96,95.64,,,,,,,,,,,,,,,
1997,1,1997.1,154.92,101.79,128.23,97.43,,,,,,,,,,,,,,,
1997,2,1997.2,157.51,102.47,127.91,98.45,,,,,,,,,,,,,,,
1997,3,1997.3,159.73,103.62,127.79,101.06,,,,,,,,,,,,,,,
1997,4,1997.4,162.15,104.91,128.32,102.69,,,,,,,,,,,,,,,
1998,1,1998.1,165.38,106.43,129.69,103.39,,,,,,,,,,,,,,,
1998,2,1998.2,168.29,108.4,132.09,112.71,,,,,,,,,,,,,,,
1998,3,1998.3,171.86,110.16,132.64,116.9,,,,,,,,,,,,,,,
1998,4,1998.4,177.01,112.05,133.2,119.83,,,,,,,,,,,,,,,
1999,1,1999.1,182.04,114.4,135.3,124.86,,,,,,,,,,,,,,,
1999,2,1999.2,188.35,117.37,136.59,133.17,,,,,,,,,,,,,,,
1999,3,1999.3,195.83,120.69,138.45,137.28,,,,,,,,,,,,,,,
1999,4,1999.4,200.38,123.15,141.69,143.64,,,,,,,,,,,,,,,
2000,1,2000.1,206.92,126.9,144.5,150.04,12359.10,101.69,4.03,,,,,,,,,,,,
2000,2,2000.2,213.21,130.34,146.72,155.51,12592.50,105.22,3.93,,,,,,,,,,,,
2000,3,2000.3,221.5,133.82,149.59,166.12,12607.70,107.87,4.00,12359.10,101.69,4.03,,,,,,,,,
2000,4,2000.4,228.35,138.73,153.2,176.41,12679.30,110.62,3.90,12592.50,105.22,3.93,12359.10,101.69,4.03,,,,,,
2001,1,2001.1,235.61,142.96,158.78,182.83,12643.30,114.09,4.23,12607.70,107.87,4.00,12592.50,105.22,3.93,12359.10,101.69,4.03,,,
2001,2,2001.2,239.03,147.1,162.55,185.01,12710.30,116.35,4.40,12679.30,110.62,3.90,12607.70,107.87,4.00,12592.50,105.22,3.93,,,
2001,3,2001.3,240.7,153.17,169.48,184.98,12670.10,118.26,4.83,12643.30,114.09,4.23,12679.30,110.62,3.90,12607.70,107.87,4.00,12359.10,101.69,4.03
2001,4,2001.4,242.5,157.41,175.26,181.45,12705.30,120.21,5.50,12710.30,116.35,4.40,12643.30,114.09,4.23,12679.30,110.62,3.90,12592.50,105.22,3.93
2002,1,2002.1,245.54,162.85,180.26,188.99,12822.30,122.29,5.70,12670.10,118.26,4.83,12710.30,116.35,4.40,12643.30,114.09,4.23,12607.70,107.87,4.00
2002,2,2002.2,246.98,169.66,187.49,203.16,12893.00,125.94,5.83,12705.30,120.21,5.50,12670.10,118.26,4.83,12710.30,116.35,4.40,12679.30,110.62,3.90
2002,3,2002.3,248.41,176.84,196.31,196.31,12955.80,130.24,5.73,12822.30,122.29,5.70,12705.30,120.21,5.50,12670.10,118.26,4.83,12643.30,114.09,4.23
2002,4,2002.4,251.06,183.53,203.48,205.66,12964.00,134.12,5.87,12893.00,125.94,5.83,12822.30,122.29,5.70,12705.30,120.21,5.50,12710.30,116.35,4.40
2003,1,2003.1,250.92,189.37,212.25,205.4,13031.20,137.43,5.87,12955.80,130.24,5.73,12893.00,125.94,5.83,12822.30,122.29,5.70,12670.10,118.26,4.83
2003,2,2003.2,251.14,195.71,221.42,206.63,13152.10,140.11,6.13,12964.00,134.12,5.87,12955.80,130.24,5.73,12893.00,125.94,5.83,12705.30,120.21,5.50
2003,3,2003.3,252.15,201.44,230.34,206.9,13372.40,143.64,6.13,13031.20,137.43,5.87,12964.00,134.12,5.87,12955.80,130.24,5.73,12822.30,122.29,5.70
2003,4,2003.4,254.12,208.72,240.03,211.11,13528.70,148.86,5.83,13152.10,140.11,6.13,13031.20,137.43,5.87,12964.00,134.12,5.87,12893.00,125.94,5.83
2004,1,2004.1,256.47,216.33,249.09,217.34,13606.50,154.70,5.70,13372.40,143.64,6.13,13152.10,140.11,6.13,13031.20,137.43,5.87,12955.80,130.24,5.73
2004,2,2004.2,261.07,223.89,262.63,229.01,13706.20,161.80,5.60,13528.70,148.86,5.83,13372.40,143.64,6.13,13152.10,140.11,6.13,12964.00,134.12,5.87
2004,3,2004.3,262.46,231.61,275.24,236.7,13830.80,168.04,5.43,13606.50,154.70,5.70,13528.70,148.86,5.83,13372.40,143.64,6.13,13031.20,137.43,5.87
2004,4,2004.4,261.29,239.89,289.52,245.91,13950.40,173.15,5.43,13706.20,161.80,5.60,13606.50,154.70,5.70,13528.70,148.86,5.83,13152.10,140.11,6.13
2005,1,2005.1,268.9,247.97,308.13,267.2,14099.10,180.34,5.30,13830.80,168.04,5.43,13706.20,161.80,5.60,13606.50,154.70,5.70,13372.40,143.64,6.13
2005,2,2005.2,267.26,256.09,327.86,252.72,14172.70,187.53,5.10,13950.40,173.15,5.43,13830.80,168.04,5.43,13706.20,161.80,5.60,13528.70,148.86,5.83
2005,3,2005.3,270.7,263.82,345.93,265.54,14291.80,193.45,4.97,14099.10,180.34,5.30,13950.40,173.15,5.43,13830.80,168.04,5.43,13606.50,154.70,5.70
2005,4,2005.4,275.07,268.91,370.56,271.58,14373.40,200.05,4.97,14172.70,187.53,5.10,14099.10,180.34,5.30,13950.40,173.15,5.43,13706.20,161.80,5.60
